"id_amending","amend_weight","name"
"C1929A00027",1,"Wine Grapes Charges Act (No. 2) 1929"
"C1929A00028",1,"Bankruptcy Act 1929"
"C1929A00029",1,"Seat of Government (Administration) Act 1929"
"C1929A00031",1,"Commonwealth Bank Act 1929"
"C1929A00032",1,"Iron and Steel Products Bounty Act 1929"
"C1930A00001",1,"Land Tax Assessment Act 1930"
"C1930A00003",1,"Customs Tariff 1930"
"C1930A00006",1,"Customs Act 1930"
"C1930A00007",1,"Australian Industries Preservation Act 1930"
"C1930A00008",1,"Land Tax Assessment Act (No. 2) 1930"
"C1930A00009",1,"Nationality Act 1930"
"C1930A00011",1,"Development and Migration Act 1930"
"C1930A00015",1,"Commerce (Trade Descriptions) Act 1930"
"C1930A00017",1,"Bankruptcy Act 1930"
"C1930A00018",1,"Census and Statistics Act 1930"
"C1930A00019",1,"Commonwealth Public Service Act 1930"
"C1930A00020",1,"Post and Telegraph Rates Act 1930"
"C1930A00022",1,"Superannuation Act 1930"
"C1930A00023",0.5,"Acts Interpretation Act 1930"
"C1930A00043",1,"Commonwealth Conciliation and Arbitration Act 1930"
"C1930A00044",1,"London Naval Treaty Act 1930"
"C1930A00046",1,"Dried Fruits Export Control Act 1930"
"C1930A00047",1,"Canned Fruits Export Control Act 1930"
"C1930A00049",1,"Grafton—South Brisbane Railway Act 1930"
"C1930A00050",1,"Income Tax Assessment Act 1930"
"C1930A00056",1,"Immigration Act 1930"
"C1930A00060",1,"Income Tax Assessment Act (No. 2) 1930"
"C1930A00061",1,"Income Tax Act (No. 2) 1930"
"C1930A00062",1,"Sales Tax Assessment Act (No. 1A) 1930"
"C1930A00063",1,"Sales Tax Act (No. 1A) 1930"
"C1930A00064",1,"Sales Tax Assessment Act (No. 2A) 1930"
"C1930A00065",1,"Sales Tax Assessment Act (No. 3A) 1930"
"C1930A00066",1,"Sales Tax Assessment Act (No. 4A) 1930"
"C1930A00067",1,"Sales Tax Assessment Act (No. 5A) 1930"
"C1930A00068",1,"Sales Tax Assessment Act (No. 6A) 1930"
"C1930A00069",1,"Sales Tax Assessment Act (No. 7A) 1930"
"C1930A00070",1,"Sales Tax Assessment Act (No. 8A) 1930"
"C1930A00071",1,"Sales Tax Assessment Act (No. 9A) 1930"
"C1930A00072",1,"National Debt Sinking Fund Act 1930"
"C1930A00074",1,"Australian Soldiers' Repatriation Act 1930"
"C1930A00076",1,"Patents Act 1930"
"C1931A00001",1,"Post and Telegraph Rates Act 1931"
"C1931A00002",1,"Wine Export Bounty Act 1931"
"C1931A00003",1,"Distillation Act 1931"
"C1931A00004",1,"Solar Observatory Fund Act 1931"
"C1931A00005",1,"Northern Territory (Administration) Act 1931"
"C1931A00006",1,"Commonwealth Bank Act 1931"
"C1931A00009",1,"Seat of Government (Administration) Act 1931"
"C1931A00015",1,"Gold Bounty Act 1931"
"C1931A00021",1,"Commonwealth Public Service Act 1931"
"C1931A00023",1,"Income Tax Assessment Act 1931"
"C1931A00025",1,"Sales Tax Assessment Act (No. 1) 1931"
"C1931A00026",1,"Sales Tax Act (No. 1) 1931"
"C1931A00027",1,"Sales Tax Assessment Act (No. 2) 1931"
"C1931A00028",1,"Sales Tax Act (No. 2) 1931"
"C1931A00029",1,"Sales Tax Assessment Act (No. 3) 1931"
"C1931A00030",1,"Sales Tax Act (No. 3) 1931"
"C1931A00031",1,"Sales Tax Assessment Act (No. 4) 1931"
"C1931A00032",1,"Sales Tax Act (No. 4) 1931"
"C1931A00033",1,"Sales Tax Assessment Act (No. 5) 1931"
"C1931A00034",1,"Sales Tax Act (No. 5) 1931"
"C1931A00035",1,"Sales Tax Assessment Act (No. 6) 1931"
"C1931A00036",1,"Sales Tax Act (No. 6) 1931"
"C1931A00037",1,"Sales Tax Assessment Act (No. 7) 1931"
"C1931A00038",1,"Sales Tax Act (No. 7) 1931"
"C1931A00039",1,"Sales Tax Assessment Act (No. 8) 1931"
"C1931A00040",1,"Sales Tax Act (No. 8) 1931"
"C1931A00041",1,"Sales Tax Assessment Act (No. 9) 1931"
"C1931A00042",1,"Sales Tax Act (No. 9) 1931"
"C1931A00043",1,"Flax and Linseed Bounties Act 1931"
"C1931A00045",1,"Service and Execution of Process Act 1931"
"C1931A00046",0.5,"Invalid and Old-age Pensions Act 1931"
"C1931A00047",1,"Financial Emergency Act (No. 2) 1931"
"C1932A00005",1,"Lands Acquisition Act 1932"
"C1932A00006",1,"War Service Homes Act 1932"
"C1932A00007",1,"Financial Agreements Enforcement Act (No. 2) 1932"
"C1932A00008",0.5,"Financial Agreements Enforcement Act (No. 3) 1932"
"C1932A00010",0.5,"Financial Agreements Enforcement Act (No. 4) 1932"
"C1932A00012",1,"Spirits Act 1932"
"C1932A00016",1,"Commonwealth Bank Act 1932"
"C1932A00017",1,"Cotton Industries Bounty Act 1932"
"C1932A00023",1,"Loan (Unemployment Relief Works) Act (No. 2) 1932"
"C1932A00024",0.5,"Acts Interpretation Act 1932"
"C1932A00025",1,"Commonwealth Inscribed Stock Act 1932"
"C1932A00026",1,"Immigration Act 1932"
"C1932A00027",1,"Forestry Bureau Act 1932"
"C1932A00028",1,"Solar Observatory Fund Act 1932"
"C1932A00029",1,"Insurance Act (No. 2) 1932"
"C1932A00030",1,"Crimes Act 1932"
"C1932A00031",1,"Bankruptcy Act 1932"
"C1932A00034",1,"High Commissioner Act 1932"
"C1932A00035",1,"Financial Emergency Act 1932"
"C1932A00039",1,"Sales Tax Assessment Act (No. 1) 1932"
"C1932A00040",1,"Sales Tax Assessment Act (No. 2) 1932"
"C1932A00041",1,"Sales Tax Assessment Act (No. 3) 1932"
"C1932A00042",1,"Sales Tax Assessment Act (No. 4) 1932"
"C1932A00043",1,"Sales Tax Assessment Act (No. 5) 1932"
"C1932A00044",1,"Sales Tax Assessment Act (No. 6) 1932"
"C1932A00045",1,"Sales Tax Assessment Act (No. 7) 1932"
"C1932A00046",1,"Sales Tax Assessment Act (No. 8) 1932"
"C1932A00047",1,"Sales Tax Assessment Act (No. 9) 1932"
"C1932A00048",1,"Sales Tax Act (No. 6) 1932"
"C1932A00050",1,"Defence Act 1932"
"C1932A00051",1,"New Guinea Act 1932"
"C1932A00052",1,"Commonwealth Public Works Committee Act 1932"
"C1932A00053",1,"Designs Act 1932"
"C1932A00055",1,"Wire and Wire Netting Act 1932"
"C1932A00059",1,"Jury Exemption Act 1932"
"C1932A00060",1,"Judiciary Act 1932"
"C1932A00061",1,"Bills of Exchange Act 1932"
"C1932A00068",0.5,"War Service Homes Act (No. 2) 1932"
"C1932A00072",1,"Commonwealth Public Service Act 1932"
"C1932A00076",1,"Income Tax Assessment Act 1932"
"C1933A00001",1,"Royal Commissions Act 1933"
"C1933A00004",0.5,"Seat of Government (Administration) Act 1933"
"C1933A00005",1,"Commonwealth Inscribed Stock Act 1933"
"C1933A00006",1,"Financial Emergency Act 1933"
"C1933A00009",1,"Canned Fruits Export Control Act 1933"
"C1933A00012",1,"Australian Institute of Anatomy Agreement Act 1933"
"C1933A00013",1,"Commerce (Trade Descriptions) Act 1933"
"C1933A00017",0.0833333333333333,"Financial Relief Act 1933"
"C1933A00019",1,"Officers' Rights Declaration Act 1933"
"C1933A00020",1,"Excise Tariff 1933"
"C1933A00021",0.5,"Excise Tariff (No. 2) 1933"
"C1933A00025",0.2,"Sales Tax Assessment (New Zealand Imports) Act 1933"
"C1933A00028",1,"Iron and Steel Products Bounty Act 1933"
"C1933A00030",1,"Customs Tariff (Industries Preservation) Act 1933"
"C1933A00031",1,"Customs Tariff (No. 2) 1933"
"C1933A00035",1,"Extradition Act 1933"
"C1933A00036",1,"Designs Act 1933"
"C1933A00037",1,"Immigration Act 1933"
"C1933A00038",1,"Commonwealth Public Service Act 1933"
